GLOSA,PONDERADOR
TEXTILESPARACAMA,0.15219
TEXTILESPARABANOYCOCINA,0.06102
TEXTILESPARALIVINGYCOMEDOR,0.04704
CALEFON,0.03793
COCINA,0.07588
ARTICULOSPARACALEFACCIONDELHOGAR,0.07897
HORNOSELECTRICOSYMICROONDAS,0.02647
LAVADORA,0.19793
REFRIGERADOR,0.19312
ELECTRODOMESTICOSPEQUENOSDECOCINA,0.18237
PLANCHA,0.03349
SERVICIODEREPARACIONDELINEABLANCAYELECTRODOMESTICOS,0.03963
VAJILLA,0.13225
UTENSILIOSDECOCINA,0.1495
HERRAMIENTASELECTRICASYACCESORIOS,0.04308
HERRAMIENTASMANUALESYACCESORIOS,0.06334
ACCESORIOSDEILUMINACION,0.05921
ARTICULOSDECERRAJERIA,0.05605
ACCESORIOSELECTRICOS,0.05831
PILAS,0.03477
AROMATIZADORYDESINFECTANTEAMBIENTAL,0.08667
DETERGENTEYSUAVIZANTEPARAROPA,0.46756
LAVALOZA,0.07569
LIMPIADOR,0.18733
INSECTICIDASYSIMILARES,0.03315
ARTICULOSDELIMPIEZA,0.10211
SERVILLETASYTOALLADEPAPEL,0.19432
SERVICIODOMESTICO,2.6473
MEDICAMENTOSANTIINFECCIOSOSANTIVIRALESYANTIFUNGICOS,0.10445
MEDICAMENTOSPARAELAPARATOCARDIOVASCULAR,0.20425
HORMONASYMEDICAMENTOSPARAELSISTEMAGENITO-URINARIO,0.30228
MEDICAMENTOSANTIINFLAMATORIOSNOCORTICOIDESANTIMIGRANOSOSYSISTEMAOSTEO-MUSCULAR,0.13352
MEDICAMENTOSPARAELSISTEMARESPIRATORIO,0.27948
MEDICAMENTOSDERMATOLOGICOSDESINFECTANTESYANTISEPTICOS,0.17123
MEDICAMENTOSPARAELSISTEMANERVIOSOCENTRAL,0.37725
MEDICAMENTOSPARAELAPARATODIGESTIVOYMETABOLICO,0.60521
PREPARADOSOFTALMOLOGICOS,0.08479
MEDICAMENTOSPARAELTRATAMIENTODELCANCERMODIFICADORESDELSISTEMAINMUNEYFARMACOSUTILIZADOSENLOSCUIDADOSPALIATIVOSDELDOLOR,0.07528
MEDICAMENTOSHOMEOPATICOSYSUPLEMENTOSALIMENTICIOS,0.08545
PRODUCTOSPARALACURACIONDEHERIDAS,0.0678
PRESERVATIVOS,0.00823
LENTESDECORRECCION,0.34303
ARTICULOSPARAMEDIRPARAMETROSDESALUD,0.05639
CONSULTAMEDICA,1.13844
PROCEDIMIENTOEINTERVENCIONQUIRURGICAAMBULATORIA,0.55348
CONSULTAYTRATAMIENTOODONTOLOGICO,1.26413
EXAMENDEIMAGENOLOGIAYRADIOLOGIA,0.33872
EXAMENDELABORATORIOCLINICO,0.26094
SERVICIODEOTROSPROFESIONALESDELASALUD,0.34187
SERVICIODEHOSPITALIZACION,0.97156
AUTOMOVILNUEVO,2.85541
AUTOMOVILUSADO,0.27347
MOTOCICLETA,0.05903
BICICLETA,0.06915
REPUESTOSPARAELFUNCIONAMIENTOELECTRICODELAUTOMOVIL,0.07448
NEUMATICOSYLLANTAS,0.12297
REPUESTOSYACCESORIOSPARAELFUNCIONAMIENTOMECANICODELAUTOMOVIL,0.20054
GASOLINA,2.73049
PETROLEODIESEL,0.38425
LUBRICANTESYACEITESPARAELAUTOMOVIL,0.03754
SERVICIODEMANTENCIONYREPARACIONDELAUTOMOVIL,0.8548
SERVICIODELAVADODELAUTOMOVIL,0.03766
SERVICIODEESTACIONAMIENTO,0.2761
SERVICIODEPEAJE,0.72502
LICENCIADECONDUCIR,0.02589
REVISIONTECNICADELAUTOMOVIL,0.07264
SERVICIODETRANSPORTEENTAXICOLECTIVO,0.66401
SERVICIODETRANSPORTEENTAXI,0.33569
SERVICIODETRANSPORTEESCOLAR,0.20798
SERVICIODETRANSPORTEENMICROBUS,0.5774
SERVICIODETRANSFER,0.0251
SERVICIODETRANSPORTEENBUSINTERURBANO,0.49365
SERVICIODETRANSPORTEAEREO,0.75389
SERVICIODETRANSPORTEMULTIMODAL,1.26432
EQUIPODETELEFONIAMOVIL,0.61378
SERVICIODECONEXIONINTERNET,0.29033
SERVICIODEBANDAANCHAMOVIL,0.01605
SERVICIODEPACKDETELECOMUNICACIONES,2.09814
SERVICIODETELEFONIAMOVIL,2.34556
SERVICIODETELEFONIAFIJA,0.09102
TELEVISOR,0.40468
EQUIPODESONIDO,0.04775
REPRODUCTORPORTATILDEAUDIOYVIDEO,0.03111
CAMARAFOTOGRAFICA,0.06172
COMPUTADOR,0.41602
IMPRESORA,0.05232
UNIDADDEALMACENAMIENTODIGITAL,0.04773
JUGUETES,0.39909
CONSOLADEVIDEOJUEGO,0.05363
IMPLEMENTOSDEPORTIVOS,0.18023
ARTICULOSDECAMPING,0.04496
INSTRUMENTOSMUSICALES,0.07416
FLORES,0.08826
PLANTAS,0.03139
ALIMENTOSPARAMASCOTAS,0.68823
ACCESORIOSPARAMASCOTAS,0.06456
SERVICIOSVETERINARIOS,0.24731
SERVICIOSPRESTADOSPORCENTROSRECREATIVOS,0.07416
ENTRADAAESPECTACULOSDEPORTIVOS,0.02565
ENTRADAACENTROSDEDIVERSIONNOCTURNOS,0.05024
SERVICIOSDEFIESTASDECUMPLEANOS,0.15119
GIMNASIOS,0.5476
CLASESDEPORTIVAS,0.20658
CLASESRECREATIVAS,0.1051
ENTRADAALCINE,0.23441
ENTRADAAESPECTACULOSCULTURALES,0.25826
SERVICIODEREVELADOFOTOGRAFICO,0.02779
SERVICIODETELEVISIONPAGADARESIDENCIAL,0.33837
SERVICIODESUSCRIPCIONENLINEA,0.0287
JUEGOSDEAZAR,0.02478
TEXTOESCOLAR,0.17324
LIBRO,0.22681
DIARIO,0.0714
CUADERNO,0.21817
MATERIALESPARAARTESMANUALES,0.09202
ARTICULOSDEESCRITORIO,0.03565
PAQUETETURISTICO,0.76585
SERVICIODEEDUCACIONDEJARDININFANTIL,0.29383
SERVICIODEEDUCACIONDETRANSICION,0.21585
SERVICIODEEDUCACIONDE1CICLODELAENSENANZABASICA,0.64393
SERVICIODEEDUCACIONDE2CICLODELAENSENANZABASICA,0.5697
SERVICIODEEDUCACIONDELAENSENANZAMEDIA,0.64279
SERVICIODEPREUNIVERSITARIO,0.16925
SERVICIODEENSENANZAENCENTROSDEFORMACIONTECNICA,0.14346
SERVICIODEENSENANZAENINSTITUTOPROFESIONAL,0.61738
SERVICIODEENSENANZAUNIVERSITARIA,2.49843
SERVICIODEENSENANZADEPOSTGRADOYPOSTITULO,0.26762
CURSOSDECAPACITACION,0.53344
ALIMENTOSCONSUMIDOSFUERADELHOGAR,3.10518
SANDWICHYCOMPLETOCONSUMIDOFUERADELHOGAR,0.57601
BEBIDAALCOHOLICACONSUMIDAFUERADELHOGAR,0.16398
BEBIDANOALCOHOLICACONSUMIDAFUERADELHOGAR,0.33339
HELADOSYPOSTRESCONSUMIDOSFUERADELHOGAR,0.08952
PLATOSPREPARADOSPARALLEVAR,1.60063
SERVICIODEALOJAMIENTOTURISTICO,0.51476
SERVICIOSDEPELUQUERIA,0.28677
SERVICIOSENCENTROSDEESTETICA,0.11232
AFEITADORAYDEPILADORAELECTRICA,0.03
MAQUINADEAFEITARDESECHABLE,0.0544
ARTICULOSDIVERSOSPARAELCUIDADOPERSONAL,0.03717
BLOQUEADORESYBRONCEADORES,0.03724
COLONIASYPERFUMES,0.20367
DESODORANTESYANTITRANSPIRANTES,0.16733
PRODUCTOSDEHIGIENEBUCAL,0.17978
PAPELHIGIENICO,0.37335
JABON,0.11949
PANALESDESECHABLES,0.36613
PROTECCIONHIGIENICAFEMENINA,0.08028
SHAMPOOYBALSAMO,0.28385
CREMASPARALAPIEL,0.17784
PRODUCTOSDEMAQUILLAJE,0.15331
TINTURASYFIJADORES,0.12015
JOYAS,0.17174
RELOJDEPULSERA,0.06962
ARTICULOSPARATRANSPORTEDEEFECTOSPERSONALES,0.29735
ARTICULOSPARATRANSPORTEDEBEBE,0.03873
LENTESDESOL,0.04135
SEGUROS,0.61603
GASTOFINANCIERO,0.23354
SERVICIODEEMISIONDECERTIFICADO,0.04128
SERVICIODEFOTOCOPIADO,0.04202
MEMBRESIAENASOCIACIONPROFESIONAL,0.09664
SERVICIONOTARIAL,0.01836
SERVICIOFUNERARIO,0.31463
CUOTASENCENTROSDEPADRESYAPODERADOS,0.15544
SERVICIODERESIDENCIASPARAADULTOSMAYORES,0.16485
SERVICIODESALACUNA,0.06794
